Game Date,Away Team,Away Lineup,Home Team,Home Lineup,Away Score,Home Score
20200505,LG,"이천웅, 정근우, 김현수, 라모스, 채은성, 박용택, 김민성, 유강남, 오지환, 차우찬",두산,"박건우, 허경민, 오재일, 김재환, 페르난데스, 김재호, 박세혁, 오재원, 정수빈, 알칸타라",2 , 8
20200505,SK,"노수광, 고종욱, 최정, 로맥, 한동민, 윤석민, 이재원, 김창평, 정현, 킹엄",한화,"이용규, 정은원, 호잉, 이성열, 송광민, 김태균, 정진호, 최재훈, 하주석, 서폴드",3 , 0
20200505,KT,"심우준, 김민혁, 강백호, 유한준, 로하스, 황재균, 박경수, 장성우, 배정대, 데스파이네",롯데,"민병헌, 전준우, 손아섭, 이대호, 안치홍, 정훈, 마차도, 한동희, 정보근, 스트레일리",7 , 2
20200505,삼성,"김헌곤, 구자욱, 살라디노, 이원석, 김상수, 김동엽, 강민호, 박해민, 이성규, 백정현",NC,"박민우, 알테어, 나성범, 양의지, 박석민, 모창민, 노진혁, 김성욱, 이명기, 루친스키",4 , 0
20200505,KIA,"최원준, 김선빈, 터커, 최형우, 장영석, 유민상, 나지완, 한승택, 박찬호, 양현종",키움,"서건창, 김하성, 이정후, 박병호, 이택근, 이지영, 모터, 임병욱, 박준태, 브리검",11 , 2
20200506,LG,"이천웅, 정근우, 김현수, 라모스, 채은성, 박용택, 김민성, 유강남, 오지환, 송은범",두산,"박건우, 페르난데스, 오재일, 김재환, 최주환, 김재호, 박세혁, 허경민, 정수빈, 이영하",5 , 2
20200506,SK,"김강민, 윤석민, 최정, 로맥, 정의윤, 한동민, 이재원, 김창평, 정현, 핀토",한화,"이용규, 정은원, 호잉, 이성열, 송광민, 김태균, 정진호, 최재훈, 하주석, 임준섭",2 , 5
20200506,KT,"심우준, 김민혁, 강백호, 유한준, 로하스, 황재균, 박경수, 장성우, 배정대, 쿠에바스",롯데,"민병헌, 전준우, 손아섭, 이대호, 안치홍, 정훈, 마차도, 한동희, 정보근, 서준원",9 , 4
20200506,삼성,"박해민, 김동엽, 구자욱, 살라디노, 김상수, 이원석, 김헌곤, 강민호, 이성규, 라이블리",NC,"박민우, 알테어, 나성범, 양의지, 박석민, 모창민, 노진혁, 김성욱, 이명기, 라이트",4 , 3
20200506,KIA,"박찬호, 김선빈, 터커, 최형우, 이우성, 장영석, 황윤호, 한승택, 최원준, 브룩스",키움,"서건창, 김하성, 이정후, 박병호, 이택근, 박동원, 모터, 임병욱, 박준태, 요키시",3 , 2
20200507,LG,"이천웅, 정근우, 김현수, 라모스, 채은성, 박용택, 김민성, 유강남, 오지환, 정찬헌",두산,"박건우, 페르난데스, 오재일, 김재환, 최주환, 김재호, 박세혁, 허경민, 정수빈, 플렉센",9 , 3
20200507,SK,"정진기, 고종욱, 최정, 로맥, 한동민, 정의윤, 이재원, 김창평, 정현, 박종훈",한화,"정은원, 정진호, 호잉, 이성열, 송광민, 김태균, 하주석, 최재훈, 이용규, 장시환",8 , 4
20200507,KT,"심우준, 김민혁, 강백호, 유한준, 로하스, 황재균, 박경수, 장성우, 배정대, 배제성",롯데,"민병헌, 전준우, 손아섭, 이대호, 안치홍, 정훈, 마차도, 한동희, 정보근, 박세웅",7 , 3
20200507,삼성,"김동엽, 구자욱, 살라디노, 이원석, 김상수, 이성규, 최영진, 강민호, 박해민, 뷰캐넌",NC,"박민우, 이명기, 나성범, 양의지, 모창민, 노진혁, 권희동, 김태진, 김성욱, 구창모",8 , 2
20200507,KIA,"최원준, 박찬호, 김선빈, 최형우, 터커, 나지완, 유민상, 장영석, 백용환, 이민우",키움,"서건창, 김하성, 이정후, 박병호, 박동원, 김혜성, 모터, 임병욱, 박준태, 최원태",5 , 8
20200508,두산,"박건우, 페르난데스, 오재일, 김재환, 최주환, 김재호, 박세혁, 허경민, 정수빈, 유희관",KT,"심우준, 김민혁, 강백호, 유한준, 로하스, 황재균, 박경수, 장성우, 배정대, 소형준",12 , 3
20200508,키움,"서건창, 김하성, 이정후, 박병호, 박동원, 김규민, 모터, 임병욱, 이지영, 이승호",한화,"정은원, 정진호, 호잉, 이성열, 송광민, 김태균, 오선진, 이해창, 이용규, 장민재",3 , 5
